file,case,category,flag,first_error
arg_reduce_tests,test arg reduce small,b,,"vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)"
arg_reduce_tests,test arg reduce irregular strides,b,,"vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)"
array_tests,test array basics,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No CPU fallback is available in Om"
array_tests,test array types,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No CPU fallback is available in Om"
array_tests,test array metadata,a,,""
array_tests,test array iteration,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No CPU fallback is available in Om"
array_tests,test make array from user buffer,a,,"[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[4096]). No CPU fallback is available in"
autograd_tests,test stop gradient,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1,1]). No CPU fallback is available in "
autograd_tests,test jvp,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No CPU fallback is available in Om"
autograd_tests,test vjp,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No CPU fallback is available in Om"
autograd_tests,test creation grads,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[4,4]). No CPU fallback is a"
autograd_tests,test op vjps,a,,""[omarchy] Sign is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[]). No CPU fallback is available in Omarc"
autograd_tests,test gather and take grads,a,,""[omarchy] Scatter is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[16]). No CPU fallback is available in "
autograd_tests,test slice grads,a,masked,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1,1,1]). No CPU fallback is available i"
autograd_tests,test slice update jvp with one tangent,a,,""[omarchy] And dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[1]). No CPU fallback is available in Om"
