file,case,category,flag,first_error
arg_reduce_tests,test arg reduce small,b,,"vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)"
arg_reduce_tests,test arg reduce irregular strides,b,,"vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)"
array_tests,test array basics,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[4]). No CPU fallback is available in "
array_tests,test array types,a,masked,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[3]). No CPU fallback is available in "
array_tests,test array metadata,a,,""
array_tests,test make array from user buffer,a,,"[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[4096]). No CPU fallback is available in"
autograd_tests,test creation grads,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[4,4]). No CPU fallback is a"
autograd_tests,test op vjps,a,,""[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[]). No CPU fallback is availab"
autograd_tests,test gather and take grads,a,,""[omarchy] Scatter Sum dtype is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[16]). No CPU fallback is ava"
autograd_tests,test slice update jvp with one tangent,a,,""[omarchy] SliceUpdate reduce is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[4]). No CPU fallback is ava"
autograd_tests,test min and max vjp,a,,""[omarchy] Sum dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1,2]). No CPU fallback is available in"
autograd_tests,test as_strided grads,a,,""[omarchy] Scatter Sum dtype is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[11]). No CPU fallback is ava"
autograd_tests,test jvp from vjp,a,,""[omarchy] GreaterEqual dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[5,10]). No CPU fallback is ava"
autograd_tests,test complex gradients,a,,""[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[]). No CPU fallback is available i"
autograd_tests,test scan grads,a,,""[omarchy] Select layout is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[4]). No CPU fallback is availabl"
autograd_tests,test grad dynamic slices,a,,""[omarchy] dynamic slice offset is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[1]). No CPU fallback is ava"
autograd_tests,test masked_scatter autograd,a,,""[omarchy] Select layout is not implemented for the Omarchy Vulkan backend (dtype=float32, shape=[1,4]). No CPU fallback is availa"
blas_tests,test matmul,a,,""[omarchy] non-zero scalar fill is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[2,4]). No CPU fallback is a"
compile_tests,test nested compile,a,,""[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[]). No CPU fallback is available in Om"
compile_tests,test compile internal output,a,,""[omarchy] Square dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[2]). No CPU fallback is available i"
compile_tests,test fusion types,a,,"[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[2]). No CPU fallback is available in Om"
compile_tests,test shapeless compile,a,,""[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[2]). No CPU fallback is available in O"
compile_tests,test compile lambda,a,,""[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[]). No CPU fallback is available in Om"
compile_tests,test compile random bits,a,,""[omarchy] RandomBits width is not implemented for the Omarchy Vulkan backend (dtype=uint16, shape=[32,32]). No CPU fallback is av"
creations_tests,test full,a,,""[omarchy] Equal dtype is not implemented for the Omarchy Vulkan backend (dtype=bool, shape=[2]). No CPU fallback is available in "
eval_tests,test eval graph retention when not tracing,a,,"[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[]). No CPU fallback is available in Oma"
export_import_tests,test export function with no inputs,c,,"vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)"
export_import_tests,test export primitives with state,c,,""[omarchy] ArgPartition dtype is not implemented for the Omarchy Vulkan backend (dtype=uint32, shape=[4,2]). No CPU fallback is av"
export_import_tests,test export functions with kwargs,c,,""[omarchy] Add dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[]). No CPU fallback is available in Om"
export_import_tests,test export function with variable inputs,c,,"vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)"
export_import_tests,test export function on different stream,c,,"Abs has no CPU implementation."
fft_tests,test fft basics,c,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[1]). No CPU fallback i"
fft_tests,test real ffts,c,,""[omarchy] FFT transform length 1 (power-of-two lengths 2 to 2048 are implemented; other lengths need Bluestein or mixed-radix sta"
fft_tests,test fftn,c,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[2,2]). No CPU fallback"
fft_tests,test fft vmap,c,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[2,4]). No CPU fallback"
fft_tests,test fft grads,c,,""[omarchy] dtype converting copy is not implemented for the Omarchy Vulkan backend (dtype=complex64, shape=[10]). No CPU fallback "
linalg_tests,[mlx.core.linalg.norm] no ord,c,,""[omarchy] Square dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[3]). No CPU fallback is available i"
linalg_tests,[mlx.core.linalg.norm] double ord,c,,""[omarchy] Square dtype is not implemented for the Omarchy Vulkan backend (dtype=int32, shape=[3]). No CPU fallback is available i"
linalg_tests,[mlx.core.linalg.norm] string ord,c,,""vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)""
